"filename", "language", "PowerShell", "Python", "Markdown", "comment", "blank", "total"
"a:\Dev\Games\TheSimpsonsGame\Audio.md", "Markdown", 0, 0, 497, 0, 185, 682
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\io_import_simpson_game_ScriptMode.py", "Python", 0, 224, 0, 2, 20, 246
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\main.py", "Python", 0, 200, 0, 17, 45, 262
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\old\Step4_Assets_Blender.ps1", "PowerShell", 157, 0, 0, 29, 44, 230
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\old\io_import_simpson_game - Copy1.py", "Python", 0, 152, 0, 1, 19, 172
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\old\io_import_simpson_game.py", "Python", 0, 152, 0, 1, 18, 171
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\old\io_import_simpson_game_ScriptMode copy.py", "Python", 0, 226, 0, 2, 24, 252
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\old\io_import_simpson_game_ScriptMode copy1.py", "Python", 0, 218, 0, 2, 19, 239
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\old\main copy.py", "Python", 0, 132, 0, 17, 24, 173
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\old\main copy1.py", "Python", 0, 47, 0, 14, 19, 80
"a:\Dev\Games\TheSimpsonsGame\Tools\blender\run.ps1", "PowerShell", 86, 0, 0, 12, 20, 118
"a:\Dev\Games\TheSimpsonsGame\Tools\noeises\tex_TheSimpsonsGame_PS3_txd.py", "Python", 0, 62, 0, 7, 3, 72
"a:\Dev\Games\TheSimpsonsGame\Tools\process\Step1_renameFolders.ps1", "PowerShell", 54, 0, 0, 8, 8, 70
"a:\Dev\Games\TheSimpsonsGame\Tools\process\Step2.2_Flatten.ps1", "PowerShell", 260, 0, 0, 98, 62, 420
"a:\Dev\Games\TheSimpsonsGame\Tools\process\Step2_quickbms_str.ps1", "PowerShell", 56, 0, 0, 30, 32, 118
"a:\Dev\Games\TheSimpsonsGame\Tools\process\Step3_AudioVideo.ps1", "PowerShell", 2, 0, 0, 9, 5, 16
"a:\Dev\Games\TheSimpsonsGame\Tools\process\Step4_Assets_Blender.ps1", "PowerShell", 186, 0, 0, 27, 47, 260
"a:\Dev\Games\TheSimpsonsGame\Tools\process\TextureDics.ps1", "PowerShell", 32, 0, 0, 37, 12, 81
"a:\Dev\Games\TheSimpsonsGame\Tools\process\old\Step1.2_FlattenDirs copy.ps1", "PowerShell", 74, 0, 0, 34, 17, 125
"a:\Dev\Games\TheSimpsonsGame\Tools\process\old\Step2.2_FlattenDirs copy.ps1", "PowerShell", 151, 0, 0, 42, 20, 213
"a:\Dev\Games\TheSimpsonsGame\Tools\process\old\Step2.3_FlattenDirs1.ps1", "PowerShell", 8, 0, 0, 8, 9, 25
"a:\Dev\Games\TheSimpsonsGame\Tools\process\old\Step2.3_FlattenDirs2-Dry.ps1", "PowerShell", 57, 0, 0, 27, 15, 99
