Generated by WizTree 4.25 21/04/2025 3:05:21 AM (You can hide this message by making a donation)
Extension,File Type,Percent,Size,Allocated,Files
".vfb","VFB File",0.261,7079628,10629120,8770
".preinstanced","PREINSTANCED File",40.455,1095487331,1106362368,5533
".ps3","PS3 File",12.142,328796260,336875520,4962
".xml","Microsoft Edge HTML Document",0.065,1751756,2519040,2617
".txd","TXD File",26.156,708266804,710103040,858
".lh2","LH2 File",0.623,16881658,18223104,654
".alb","ALB File",0.013,348224,843776,529
".ctb","CTB File",0.019,518464,1134592,528
".dat","DAT File",0.233,6321272,6537216,434
".graph","GRAPH File",0.564,15260938,15749120,425
".rcm_b","RCM_B File",0.002,63376,4096,346
".sbk","SBK File",15.328,415075876,415420416,157
".bsp","BSP File",0.073,1973507,2191360,113
".smb","SMB File",0.053,1440576,1560576,99
".mib","MIB File",0.008,221652,348160,89
".amb","AMB File",3.573,96751848,96849920,58
".uix","UIX File",0.359,9719256,9830400,54
"","(No Extension)",0.000,9478,16384,46
".imb","IMB File",0.023,615440,720896,44
".toc","TOC File",0.002,53988,98304,25
".msb","MSB File",0.005,136140,180224,19
".inf","Setup Information",0.003,75525,90112,12
".bin","BIN File",0.038,1025512,1028096,2
".aub","AUB File",0.001,14664,16384,2
".txt","Text Document",0.000,406,0,2
